id,sesso,eta,mese,peso,kcal,pesoStimato
1,0,31,1,97.0,1965,4
1,0,31,2,99.06005,2047,5
1,0,31,3,100.93987,2127,4
1,0,31,4,103.08139,2365,9
1,0,31,5,103.97695,2900,12
1,0,31,6,104.10454,1884,7
1,0,31,7,105.38161,2455,10
1,0,31,8,105.912766,2866,11
1,0,31,9,106.17341,3399,13
1,0,31,10,106.00865,1902,0
1,0,31,11,109.20266,2945,11
1,0,31,12,109.57787,3742,15
1,0,31,13,108.968575,4270,18
1,0,31,14,107.672325,2012,8
1,0,31,15,108.79658,2971,11
1,0,31,16,109.05104,1962,3
1,0,31,17,111.5016,2850,12
1,0,31,18,111.74862,3110,12
1,0,31,19,111.87209,4010,16
1,0,31,20,111.07209,3674,14
1,0,31,21,110.81134,3032,12
1,0,31,22,110.96866,3353,13
1,0,31,23,110.73156,3063,12
1,0,31,24,110.93887,2172,9
1,0,31,25,111.87902,2214,9
1,0,31,26,112.77694,2159,7
1,0,31,27,114.25401,2498,9
1,0,31,28,115.14993,3877,16
1,0,31,29,114.35164,2889,11
1,0,31,30,114.72236,2179,3
1,0,31,31,117.184494,2007,5
1,0,31,32,119.10228,2922,10
1,0,31,33,119.78332,2598,10
1,0,31,34,120.346825,2772,9
1,0,31,35,121.16501,2380,8
1,0,31,36,122.38896,2562,7
2,0,18,1,79.0,3332,15
2,0,18,2,78.42527,1820,0
2,0,18,3,81.48571,2804,12
2,0,18,4,81.71146,3020,13
2,0,18,5,81.71146,2447,8
2,0,18,6,82.88228,2441,11
2,0,18,7,83.38207,1961,1
2,0,18,8,86.19441,2354,6
2,0,18,9,87.859665,3181,13
2,0,18,10,87.859665,2577,10
2,0,18,11,88.562805,2656,8
2,0,18,12,89.5869,2292,6
2,0,18,13,91.21866,2321,6
2,0,18,14,92.85244,3246,12
2,0,18,15,92.893105,2750,9
2,0,18,16,93.71201,2601,7
2,0,18,17,95.121086,2158,6
2,0,18,18,96.80737,2698,7
2,0,18,19,98.13614,3898,14
2,0,18,20,97.676414,4503,16
2,0,18,21,96.73038,3413,13
2,0,18,22,96.73038,2355,9
2,0,18,23,97.62889,4227,15
2,0,18,24,96.88132,4339,17
2,0,18,25,95.81886,4373,15
2,0,18,26,95.1445,2968,10
2,0,18,27,95.825096,4135,15
2,0,18,28,95.28459,2330,5
2,0,18,29,97.0803,2123,0
2,0,18,30,100.142006,3363,12
2,0,18,31,100.225266,2910,9
2,0,18,32,101.04314,2786,10
2,0,18,33,101.57436,3363,12
2,0,18,34,101.67963,2374,3
2,0,18,35,104.141716,3319,11
2,0,18,36,104.40204,2313,8
3,1,48,1,83.0,2658,11
3,1,48,2,83.272385,2541,9
3,1,48,3,84.22476,3499,14
3,1,48,4,83.96412,2036,3
3,1,48,5,86.42483,3085,13
3,1,48,6,86.42483,3794,16
3,1,48,7,85.490456,2546,8
3,1,48,8,86.513626,2748,11
3,1,48,9,86.88371,2414,7
3,1,48,10,88.29216,2685,10
3,1,48,11,88.941696,4072,16
3,1,48,12,88.0193,2743,10
3,1,48,13,88.69922,2972,12
3,1,48,14,88.90918,3445,13
3,1,48,15,88.72747,2066,4
3,1,48,16,90.78555,2598,8
3,1,48,17,91.88255,3062,12
3,1,48,18,92.00698,3765,14
3,1,48,19,91.549614,2101,4
3,1,48,20,93.60959,2385,5
3,1,48,21,95.3643,3450,14
3,1,48,22,95.081696,3088,12
3,1,48,23,95.23908,3221,12
3,1,48,24,95.278824,3059,12
3,1,48,25,95.47006,3030,11
3,1,48,26,95.84465,4177,15
3,1,48,27,95.18892,3772,14
3,1,48,28,94.9132,2890,11
3,1,48,29,95.28379,3222,12
3,1,48,30,95.30366,4165,16
3,1,48,31,94.42875,2687,8
3,1,48,32,95.452194,2802,11
3,1,48,33,95.77696,3035,11
3,1,48,34,96.15258,2126,6
3,1,48,35,97.76688,2509,6
3,1,48,36,99.34519,3298,12
4,1,46,1,100.0,2608,8
4,1,46,2,101.127304,3802,14
4,1,46,3,100.782486,3358,13
4,1,46,4,100.782486,3391,13
4,1,46,5,100.76302,4096,16
4,1,46,6,99.862144,3441,13
4,1,46,7,99.80402,2472,7
4,1,46,8,101.20856,2390,4
4,1,46,9,103.2504,2861,9
4,1,46,10,104.20111,2842,9
4,1,46,11,105.018845,2683,9
4,1,46,12,105.86417,3006,11
4,1,46,13,106.1629,2216,8
4,1,46,14,107.28655,2542,7
4,1,46,15,108.7657,4808,15
4,1,46,16,108.22577,4690,17
4,1,46,17,107.210846,3829,13
4,1,46,18,107.029076,3477,13
4,1,46,19,107.029076,2156,0
4,1,46,20,110.09262,3076,10
4,1,46,21,110.83872,2414,5
4,1,46,22,112.72108,4517,15
4,1,46,23,112.10208,4896,15
4,1,46,24,111.56205,2316,6
4,1,46,25,113.17734,4851,16
4,1,46,26,112.39997,2828,10
4,1,46,27,112.93109,3159,11
4,1,46,28,113.33945,3597,13
4,1,46,29,113.33945,3202,11
4,1,46,30,113.832886,2489,5
4,1,46,31,115.62959,3059,10
4,1,46,32,116.20037,2338,8
4,1,46,33,117.32441,2461,5
4,1,46,34,119.29434,4824,15
4,1,46,35,118.60218,3697,13
4,1,46,36,118.60218,3291,11
5,1,21,1,99.0,3202,11
5,1,21,2,99.49344,2527,6
5,1,21,3,101.207726,2411,2
5,1,21,4,103.78342,2788,6
5,1,21,5,105.449486,4623,16
5,1,21,6,104.51503,5080,15
5,1,21,7,103.98589,5061,17
5,1,21,8,102.927605,4878,15
5,1,21,9,102.20067,3567,12
5,1,21,10,102.35486,4049,14
5,1,21,11,102.0822,2940,10
5,1,21,12,102.8322,4837,15
5,1,21,13,102.122665,4999,18
5,1,21,14,100.7994,4479,16
5,1,21,15,99.86504,2968,10
5,1,21,16,100.52306,3272,11
5,1,21,17,100.85589,2442,9
5,1,21,18,101.840324,3412,12
5,1,21,19,102.065414,3087,9
5,1,21,20,103.016174,2811,7
5,1,21,21,104.27836,2649,4
5,1,21,22,106.31875,2420,6
5,1,21,23,108.005936,3212,10
5,1,21,24,108.57661,4450,15
5,1,21,25,108.0256,3824,13
5,1,21,26,108.0256,5315,17
5,1,21,27,106.90349,4022,13
5,1,21,28,106.73417,3412,12
5,1,21,29,106.95633,2924,10
5,1,21,30,107.55346,4193,14
5,1,21,31,107.28086,4870,15
5,1,21,32,106.6248,2841,7
5,1,21,33,107.95814,2905,7
5,1,21,34,109.22079,3739,12
5,1,21,35,109.31306,2353,2
5,1,21,36,111.868095,3920,13
6,0,42,1,88.0,1959,7
6,0,42,2,89.34609,3087,14
6,0,42,3,88.9768,2254,8
6,0,42,4,90.039795,2468,9
6,0,42,5,90.852196,3977,17
6,0,42,6,89.75086,2808,12
6,0,42,7,89.79146,2637,12
6,0,42,8,89.96514,1836,4
6,0,42,9,92.21351,3425,14
6,0,42,10,91.90869,3419,14
6,0,42,11,91.45154,2718,11
6,0,42,12,91.76979,2317,10
6,0,42,13,92.51947,3954,18
6,0,42,14,91.19676,3406,15
6,0,42,15,90.58725,2303,8
6,0,42,16,91.835625,2869,12
6,0,42,17,91.86491,2261,9
6,0,42,18,92.710106,2300,7
6,0,42,19,94.03837,2873,12
6,0,42,20,94.11912,2582,10
6,0,42,21,94.66288,3293,14
6,0,42,22,94.235306,3227,13
6,0,42,23,94.05371,3195,14
6,0,42,24,93.72445,2401,9
6,0,42,25,94.60075,3704,14
6,0,42,26,94.188225,2641,10
6,0,42,27,94.742935,2207,9
6,0,42,28,95.74203,1894,8
6,0,42,29,96.86558,2083,7
6,0,42,30,98.15026,2486,8
6,0,42,31,99.173996,2590,11
6,0,42,32,99.661644,3742,14
6,0,42,33,99.27469,2741,12
6,0,42,34,99.47243,2383,7
6,0,42,35,100.80058,2490,9
6,0,42,36,101.67769,2501,8
7,1,47,1,103.0,2721,8
7,1,47,2,104.24954,2466,6
7,1,47,3,105.803474,3661,13
7,1,47,4,105.57731,3071,12
7,1,47,5,105.824135,4421,15
7,1,47,6,105.167946,4749,17
7,1,47,7,104.067085,2772,9
7,1,47,8,105.00359,2958,9
7,1,47,9,105.81664,4213,15
7,1,47,10,105.27618,4683,16
